Keyword,Title,Quora_link
Machine Learning,What is a flattened convulational neural network?,https://www.quora.com/What-is-a-flattened-convulational-neural-network?
Machine Learning,What makes a convulational neural network better fit for images?,https://www.quora.com/What-makes-a-convulational-neural-network-better-fit-for-images?
Machine Learning,How does an edge detection kernel in a convulational neural network work?,https://www.quora.com/How-does-an-edge-detection-kernel-in-a-convulational-neural-network-work?
Machine Learning,What are the differences between a convulational neural network and a capsule network?,https://www.quora.com/What-are-the-differences-between-a-convulational-neural-network-and-a-capsule-network?
